Country Name;Short Name;year;Record;Built-up Land;Cropland;Fishing Grounds;Forest Products;Grazing Land;Total;Data Quality Score;isoa2
Australia;Australia;1961;BiocapPerCap;0,024142912;1,296506541;7,418046879;4,643257306;15,81012031;29,19207395;3A;AU
Australia;Australia;1962;BiocapPerCap;0,026078388;1,461609176;7,264802364;4,560069001;15,52358962;28,83614854;3A;AU
Australia;Australia;1963;BiocapPerCap;0,027747584;1,570394422;7,106305236;4,471741007;15,26371645;28,4399047;3A;AU
Australia;Australia;1964;BiocapPerCap;0,027477675;1,631333068;6,94920569;4,381828296;14,9721743;27,96201903;3A;AU
Australia;Australia;1965;BiocapPerCap;0,020278709;1,229465484;6,770304979;4,288928872;14,68970456;26,9986826;3A;AU
Australia;Australia;1966;BiocapPerCap;0,03073259;1,945988943;6,600044468;4,189891225;14,31642906;27,08308629;3A;AU
Australia;Australia;1967;BiocapPerCap;0,018453221;1,184741209;6,405801326;4,078663983;13,94879404;25,63645378;3A;AU
Australia;Australia;1968;BiocapPerCap;0,032890115;2,060676151;6,2218672;3,959051339;13,48998635;25,76447116;3A;AU
Australia;Australia;1969;BiocapPerCap;0,026004332;1,592844129;6,023958236;3,853762455;13,17777742;24,67434657;3A;AU
Australia;Australia;1970;BiocapPerCap;0,023768324;1,427773903;5,903793854;3,765757703;12,99346155;24,11455533;3A;AU
Australia;Australia;1971;BiocapPerCap;0,026084843;1,519169747;5,784456798;3,695158609;12,77811838;23,80298838;3A;AU
Australia;Australia;1972;BiocapPerCap;0,020203231;1,143909216;5,711544534;3,637070063;12,65653681;23,16926385;3A;AU
Australia;Australia;1973;BiocapPerCap;0,029976852;1,65741011;5,597822775;3,592065961;12,47817095;23,35544665;3A;AU
Australia;Australia;1974;BiocapPerCap;0,027432113;1,567526291;5,546051934;3,542072162;12,35693037;23,04001287;3A;AU
Australia;Australia;1975;BiocapPerCap;0,031250239;1,768142195;5,476392723;3,501023444;12,1772485;22,9540571;3A;AU
Australia;Australia;1976;BiocapPerCap;0,028212507;1,571970373;5,406291722;3,4604614;12,04752559;22,51446159;3A;AU
Australia;Australia;1977;BiocapPerCap;0,025296833;1,361251988;5,371327767;3,422595137;11,74728421;21,92775593;3A;AU
Australia;Australia;1978;BiocapPerCap;0,03955915;2,17804976;5,320654689;3,379886581;11,56582653;22,48397671;3A;AU
Australia;Australia;1979;BiocapPerCap;0,037595647;2,114463707;5,269587109;3,342690028;11,536538;22,30087449;3A;AU
Australia;Australia;1980;BiocapPerCap;0,026715997;1,487918373;5,206267067;3,286491291;11,45755276;21,46494548;3A;AU
Australia;Australia;1981;BiocapPerCap;0,039128191;2,102314773;5,149837401;3,245927691;11,34104574;21,8782538;3A;AU
Australia;Australia;1982;BiocapPerCap;0,022684859;1,295664245;5,052946491;3,205585469;10,97550847;20,55238953;3A;AU
Australia;Australia;1983;BiocapPerCap;0,046896741;2,552661214;4,968934196;3,160802555;10,64618528;21,37547998;3A;AU
Australia;Australia;1984;BiocapPerCap;0,042315107;2,383019673;4,863679571;3,112073441;10,43927846;20,84036626;3A;AU
Australia;Australia;1985;BiocapPerCap;0,039847099;2,21293461;4,763936109;3,059676929;10,22259127;20,29898602;3A;AU
Australia;Australia;1986;BiocapPerCap;0,040017562;2,17161221;4,655516924;3,002563477;9,947473709;19,81718388;3A;AU
Australia;Australia;1987;BiocapPerCap;0,035169245;1,882532405;4,573907549;2,953111578;9,774607567;19,21932834;3A;AU
Australia;Australia;1988;BiocapPerCap;0,036818881;1,94587623;4,490337157;2,904976167;9,621215794;18,99922423;3A;AU
Australia;Australia;1989;BiocapPerCap;0,037043622;1,951781078;4,415251812;2,858326758;9,344365209;18,60676848;3A;AU
Australia;Australia;1990;BiocapPerCap;0,036643798;1,910994103;4,359567482;2,805615789;9,170379112;18,28320029;3A;AU
Australia;Australia;1991;BiocapPerCap;0,035308913;1,733692046;4,295494161;2,771709619;9,02699968;17,86320442;3A;AU
Australia;Australia;1992;BiocapPerCap;0,042595066;2,133754854;4,282525149;2,774851059;9,050089525;18,28381565;3A;AU
Australia;Australia;1993;BiocapPerCap;0,045974217;2,234752384;4,231882218;2,750642571;8,832839474;18,09609086;3A;AU
Australia;Australia;1994;BiocapPerCap;0,030484833;1,498112876;4,178454048;2,724466315;8,887009105;17,31852718;3A;AU
Australia;Australia;1995;BiocapPerCap;0,056478303;2,331770883;4,122043658;2,69491377;8,723409049;17,92861566;3A;AU
Australia;Australia;1996;BiocapPerCap;0,077095862;2,854985562;4,073320202;2,672841315;8,692854396;18,37109734;3A;AU
Australia;Australia;1997;BiocapPerCap;0,06342101;2,552551455;4,029335105;2,643030044;8,506770816;17,79510843;3A;AU
Australia;Australia;1998;BiocapPerCap;0,064828312;2,851718484;3,987742427;2,615232861;8,409734059;17,92925614;3A;AU
Australia;Australia;1999;BiocapPerCap;0,067638156;3,04503245;3,947345523;2,585309225;8,120972267;17,76629762;3A;AU
Australia;Australia;2000;BiocapPerCap;0,061658249;2,855618096;3,910572213;2,558083932;8,061624333;17,44755682;3A;AU
Australia;Australia;2001;BiocapPerCap;0,059368597;2,835694697;3,875873427;2,524351535;7,975431152;17,27071941;3A;AU
Australia;Australia;2002;BiocapPerCap;0,064619945;2,996692407;3,835032318;2,496615796;7,740584665;17,13354513;3A;AU
Australia;Australia;2003;BiocapPerCap;0,035549003;1,587869793;3,774582349;2,454471583;7,494701026;15,34717375;3A;AU
Australia;Australia;2004;BiocapPerCap;0,065982061;2,953449576;3,720751054;2,416361299;7,392480713;16,5490247;3A;AU
