Country Name;Short Name;year;Record;Built-up Land;Cropland;Forest Products;Total;isoa2
Germany;Germany;1961;EFConsTotGHA;4508944;50848053;34038128;314812906;DE
Germany;Germany;1962;EFConsTotGHA;5365563;61042327;35185355;342804948;DE
Germany;Germany;1963;EFConsTotGHA;5556140;57028828;31841615;350606550;DE
Germany;Germany;1964;EFConsTotGHA;5538744;57958495;34342936;365151691;DE
Germany;Germany;1965;EFConsTotGHA;5238184;57341761;35539398;373468090;DE
Germany;Germany;1966;EFConsTotGHA;5271125;58452384;36347978;373002711;DE
Germany;Germany;1967;EFConsTotGHA;6507943;64377206;34089392;371626070;DE
Germany;Germany;1968;EFConsTotGHA;6556474;64204055;37637211;394203291;DE
Germany;Germany;1969;EFConsTotGHA;6495381;64374933;43239011;425868188;DE
Germany;Germany;1970;EFConsTotGHA;6168911;65497801;44919519;537256168;DE
Germany;Germany;1971;EFConsTotGHA;6905275;71320285;44458492;543288519;DE
Germany;Germany;1972;EFConsTotGHA;7017025;74957491;42533746;559455612;DE
Germany;Germany;1973;EFConsTotGHA;7030282;71646155;47362747;572080838;DE
Germany;Germany;1974;EFConsTotGHA;7557680;72139464;43628671;538791082;DE
Germany;Germany;1975;EFConsTotGHA;7286006;70335628;39029537;518323574;DE
Germany;Germany;1976;EFConsTotGHA;6067420;69597945;43478505;547534134;DE
Germany;Germany;1977;EFConsTotGHA;7011400;72010288;45636126;544735257;DE
Germany;Germany;1978;EFConsTotGHA;7321914;77276384;46884930;564638005;DE
Germany;Germany;1979;EFConsTotGHA;7314020;76218745;47910476;585358899;DE
Germany;Germany;1980;EFConsTotGHA;7263242;77905964;50149891;562096514;DE
Germany;Germany;1981;EFConsTotGHA;7180483;75981949;47158945;527695814;DE
Germany;Germany;1982;EFConsTotGHA;7871996;81323062;45969966;514331259;DE
Germany;Germany;1983;EFConsTotGHA;7094433;79720762;46145505;511431948;DE
Germany;Germany;1984;EFConsTotGHA;8246100;84441588;46620808;520525350;DE
Germany;Germany;1985;EFConsTotGHA;8596137;87137834;45409135;526255656;DE
Germany;Germany;1986;EFConsTotGHA;8487600;80968359;47054751;527226556;DE
Germany;Germany;1987;EFConsTotGHA;8386311;78412034;47580941;521979072;DE
Germany;Germany;1988;EFConsTotGHA;8610999;79757380;48317441;521801007;DE
Germany;Germany;1989;EFConsTotGHA;8608638;77336045;52368413;519810578;DE
Germany;Germany;1990;EFConsTotGHA;8581805;78918264;80933090;547587665;DE
Germany;Germany;1991;EFConsTotGHA;9104516;76780185;41943983;508289130;DE
Germany;Germany;1992;EFConsTotGHA;8242400;69993665;43492226;494733592;DE
Germany;Germany;1993;EFConsTotGHA;8437067;70584790;42640851;474607676;DE
Germany;Germany;1994;EFConsTotGHA;9072326;69972284;46794106;482536802;DE
Germany;Germany;1995;EFConsTotGHA;9476662;71578892;43376445;477917694;DE
Germany;Germany;1996;EFConsTotGHA;9665320;69053949;40490108;473713457;DE
Germany;Germany;1997;EFConsTotGHA;10370220;73352757;41171069;467069638;DE
Germany;Germany;1998;EFConsTotGHA;10943837;73675425;42300076;470340404;DE
Germany;Germany;1999;EFConsTotGHA;11206492;71755699;41183202;439133251;DE
Germany;Germany;2000;EFConsTotGHA;11254276;68339342;51655401;449551847;DE
Germany;Germany;2001;EFConsTotGHA;12217506;74006416;39511817;444179094;DE
Germany;Germany;2002;EFConsTotGHA;10762272;67101394;37296156;423890771;DE
Germany;Germany;2003;EFConsTotGHA;10116820;66395852;42982317;430389289;DE
Germany;Germany;2004;EFConsTotGHA;12231624;79671118;41577383;437261752;DE
Germany;Germany;2005;EFConsTotGHA;11368904;72042440;37978024;422577117;DE
Germany;Germany;2006;EFConsTotGHA;10878163;70980838;44455293;442086014;DE
Germany;Germany;2007;EFConsTotGHA;10611638;75972930;52199771;441560893;DE
Germany;Germany;2008;EFConsTotGHA;11712253;76161043;36626498;432128580;DE
Germany;Germany;2009;EFConsTotGHA;12058740;76307213;29279743;407918441;DE
Germany;Germany;2010;EFConsTotGHA;11490678;70632931;39844118;436989875;DE
Germany;Germany;2011;EFConsTotGHA;10254834;68489239;42091182;429787119;DE
Germany;Germany;2012;EFConsTotGHA;11102126;70386950;39581367;414883134;DE
Germany;Germany;2013;EFConsTotGHA;11534049;68814180;40863407;417395618;DE
Germany;Germany;2014;EFConsTotGHA;12637396;73777567;41252659;407058581;DE
Brazil;Brazil;1961;EFConsTotGHA;3413788;34075857;46227989;179679058;BR
Brazil;Brazil;1962;EFConsTotGHA;3543881;37533386;47515190;188435430;BR
Brazil;Brazil;1963;EFConsTotGHA;3373377;35320936;46521059;187830792;BR
Brazil;Brazil;1964;EFConsTotGHA;3258965;35887640;46556439;189658894;BR
Brazil;Brazil;1965;EFConsTotGHA;3999078;43120764;47166092;197968078;BR
Brazil;Brazil;1966;EFConsTotGHA;3762075;39586928;48613361;202803858;BR
Brazil;Brazil;1967;EFConsTotGHA;4115639;44660595;50271294;212109048;BR
Brazil;Brazil;1968;EFConsTotGHA;4044953;43421240;51464858;218899488;BR
Brazil;Brazil;1969;EFConsTotGHA;4177602;43429807;52678932;223291085;BR
Brazil;Brazil;1970;EFConsTotGHA;4258288;44457711;54383718;233685180;BR
Brazil;Brazil;1971;EFConsTotGHA;4586120;49960675;55354004;247359385;BR
Brazil;Brazil;1972;EFConsTotGHA;4594338;48733635;55042371;253580413;BR
Brazil;Brazil;1973;EFConsTotGHA;4563134;48218916;54914413;265343490;BR
Brazil;Brazil;1974;EFConsTotGHA;5052852;55300685;57213097;291249747;BR
Brazil;Brazil;1975;EFConsTotGHA;4863885;50929052;61089667;292907933;BR
Brazil;Brazil;1976;EFConsTotGHA;5117591;51607644;63837645;312800917;BR
Brazil;Brazil;1977;EFConsTotGHA;5328592;57049709;66891458;329762775;BR
